%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1749245726733079864,1239,1749245726609974800,map,-0.012709796386037317,0.0633000714087773,0.49156224739181953,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245726812431891,1240,1749245726676078800,map,-0.012709796386037317,0.0633000714087773,0.49156224739181953,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245726870975667,1241,1749245726776050800,map,-0.012709796386037317,0.0633000714087773,0.49156224739181953,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727028452620,1242,1749245726809419800,map,-0.012709796386037317,0.0633000714087773,0.49156224739181953,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727089758032,1243,1749245726976390800,map,-0.012709792665402663,0.0633000714087773,0.4915622472056327,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727167712312,1244,1749245727075947800,map,-0.012709792665402663,0.0633000714087773,0.4915622472056327,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727253752159,1245,1749245727109442800,map,-0.012709792665402663,0.0633000714087773,0.4915622472056327,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727303497399,1246,1749245727209445800,map,-0.012709792665402663,0.0633000714087773,0.4915622472056327,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727456296321,1247,1749245727242822800,map,-0.012709792665402663,0.0633000714087773,0.4915622472056327,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727506985880,1248,1749245727409446800,map,-0.012709792665402663,0.0633000714087773,0.4915622472056327,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727561223640,1249,1749245727475968800,map,-0.012709794154897975,0.0633000714087773,0.4915622174405554,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727633077245,1250,1749245727543289800,map,-0.012709794154897975,0.0633000714087773,0.4915622174405554,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727689320107,1251,1749245727609486800,map,-0.012709794154897975,0.0633000714087773,0.4915622174405554,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727874713760,1252,1749245727642965800,map,-0.012709794154897975,0.0633000714087773,0.4915622174405554,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245727933218925,1253,1749245727809354800,map,-0.012709794154897975,0.0633000714087773,0.4915622174405554,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728017298409,1254,1749245727909348800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728099259540,1255,1749245727976271800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728182728194,1256,1749245728076228800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728381063134,1257,1749245728142860800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728421223606,1258,1749245728342881800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728487797863,1259,1749245728376344800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728535830504,1260,1749245728445795800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728601048755,1261,1749245728476264800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728745562584,1262,1749245728576249800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728776049336,1263,1749245728676275800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728849633376,1264,1749245728742786800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728913713392,1265,1749245728810032800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245728968363712,1266,1749245728877460800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245729154121520,1267,1749245728909729800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245729202712407,1268,1749245729109708800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245729292635689,1269,1749245729176290800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245729379516682,1270,1749245729242801800,map,-0.01270979043426332,0.0633000714087773,0.49156221725436844,0.004239034974809965,0.016740108220766974,-0.0009142465846999891,0.9998504705766866
1749245729459653846,1271,1749245729342799800,map,-0.012702548864742858,0.06333173259155678,0.4915611087514121,0.004249126442256914,0.016717840173604927,-0.0009560874242327979,0.9998507611845104
1749245729637619222,1272,1749245729409749800,map,-0.012701081889191865,0.06333863681940777,0.49156367480868435,0.004256388384930504,0.016744114395595953,-0.000915114963265584,0.9998503289771064
1749245729689085983,1273,1749245729576197800,map,-0.012660786628171484,0.06333868559999517,0.49156038695523735,0.004213062991724189,0.016718731882583694,-0.0009441672129674508,0.9998509102124876
1749245729781036711,1274,1749245729643081800,map,-0.012650779791315335,0.06334382805940049,0.4915543096373216,0.004218306358845053,0.01672719599112874,-0.0009444296109385676,0.9998507462908889
1749245729855377853,1275,1749245729743085800,map,-0.012663794602245598,0.06333190213156585,0.491564800268413,0.0042395701130781656,0.01676145984605129,-0.0009035533708902768,0.9998501203182363
1749245729937396258,1276,1749245729809713800,map,-0.012687667824640729,0.06335132864251888,0.4915624846327947,0.0042795193022107875,0.016752122655197817,-0.0009372358840749157,0.9998500756063305
1749245730164165721,1277,1749245729876317800,map,-0.01268340604251753,0.06337405719916123,0.4915435567976133,0.004298620037270045,0.016712937317508787,-0.0009685438123260797,0.9998506196001881
1749245730249717512,1278,1749245730109811800,map,-0.012707143571973783,0.0633682882428879,0.491554348436789,0.0042719462503067115,0.01675745850943838,-0.000915893510624965,0.9998500383550606
1749245730322854202,1279,1749245730209736800,map,-0.012696830758530338,0.06335304749239173,0.4915512395701174,0.004237295948591509,0.016716949580122348,-0.0009141595451879161,0.9998508654955026
1749245730393122153,1280,1749245730276350800,map,-0.012709179940125876,0.06335508859473259,0.49155758792470233,0.0042696932199384014,0.01676545832055725,-0.0009263394903606642,0.9998499042467613
1749245730445433319,1281,1749245730343459800,map,-0.012693504136807941,0.06332990080044049,0.4915635869456162,0.004227380596884571,0.016743223552804536,-0.0009029433455152065,0.9998504780274222
1749245730656904967,1282,1749245730409794800,map,-0.012657681310318625,0.06325443246377999,0.49152550163581143,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
1749245730709970337,1283,1749245730609637800,map,-0.012640565047402266,0.06321532436622673,0.4915032799450533,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
1749245730777864576,1284,1749245730677747800,map,-0.012625857369421796,0.06318362214578682,0.4914848788961528,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
1749245730836574187,1285,1749245730743173800,map,-0.012612644564234422,0.06315537699474388,0.49146843254893124,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
1749245730900649485,1286,1749245730809723800,map,-0.012600693733766682,0.06312986620678002,0.4914536010130156,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
1749245731090236108,1287,1749245730876485800,map,-0.012589873920368862,0.06310677685751015,0.4914401688577624,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
1749245731161216110,1288,1749245731043161800,map,-0.012580084673112536,0.06308588542951638,0.491427981858365,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
1749245731230850679,1289,1749245731143019800,map,-0.01257122479321798,0.06306696840538079,0.49141697527143513,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
1749245731269608291,1290,1749245731176512800,map,-0.012563199781530733,0.06304984697116905,0.4914070250096173,0.0042249571433924295,0.016646382029530164,-0.0008465137154610058,0.9998521546293697
